# x, y, z, vx, vy, vz
2.908317372202873230e-02,6.875236984342336655e-02,1.695889115333557129e+00,5.244538187980651855e-04,-1.191108301281929016e-02,3.021001815795898438e-03
2.960762754082679749e-02,5.684128683060407639e-02,1.698910117149353027e+00,4.748040810227394104e-04,-1.104754954576492310e-02,3.233611583709716797e-03
3.008243162184953690e-02,4.579373728483915329e-02,1.702143728733062744e+00,4.517184570431709290e-04,-1.018674764782190323e-02,3.385186195373535156e-03
3.053415007889270782e-02,3.560698963701725006e-02,1.705528914928436279e+00,3.821067512035369873e-04,-9.296907112002372742e-03,3.507375717163085938e-03
3.091625683009624481e-02,2.631008252501487732e-02,1.709036290645599365e+00,3.024507313966751099e-04,-8.467409759759902954e-03,3.577530384063720703e-03
3.121870756149291992e-02,1.784267276525497437e-02,1.712613821029663086e+00,2.171434462070465088e-04,-7.668379694223403931e-03,3.609299659729003906e-03
3.143585100769996643e-02,1.017429307103157043e-02,1.716223120689392090e+00,1.031709834933280945e-04,-6.844807416200637817e-03,3.605961799621582031e-03
3.153902199119329453e-02,3.329485654830932617e-03,1.719829082489013672e+00,3.119930624961853027e-06,-6.131943315267562866e-03,3.579854965209960938e-03
3.154214192181825638e-02,-2.802457660436630249e-03,1.723408937454223633e+00,-1.560850068926811218e-04,-5.403384566307067871e-03,3.515303134918212891e-03
3.138605691492557526e-02,-8.205842226743698120e-03,1.726924240589141846e+00,-2.582482993602752686e-04,-4.776824265718460083e-03,3.468811511993408203e-03
3.112780861556529999e-02,-1.298266649246215820e-02,1.730393052101135254e+00,-4.059793427586555481e-04,-4.155263304710388184e-03,3.370821475982666016e-03
3.072182927280664444e-02,-1.713792979717254639e-02,1.733763873577117920e+00,-5.249353125691413879e-04,-3.584360703825950623e-03,3.262996673583984375e-03
3.019689396023750305e-02,-2.072229050099849701e-02,1.737026870250701904e+00,-6.256606429815292358e-04,-3.061311319470405579e-03,3.150701522827148438e-03
2.957123331725597382e-02,-2.378360182046890259e-02,1.740177571773529053e+00,-7.407227531075477600e-04,-2.607494592666625977e-03,3.023862838745117188e-03
2.883051056414842606e-02,-2.639109641313552856e-02,1.743201434612274170e+00,-8.404552936553955078e-04,-2.161800861358642578e-03,2.900898456573486328e-03
2.799005527049303055e-02,-2.855289727449417114e-02,1.746102333068847656e+00,-8.825780823826789856e-04,-1.812249422073364258e-03,2.763986587524414062e-03
2.710747718811035156e-02,-3.036514669656753540e-02,1.748866319656372070e+00,-9.373892098665237427e-04,-1.476941630244255066e-03,2.631664276123046875e-03
2.617008797824382782e-02,-3.184208832681179047e-02,1.751497983932495117e+00,-9.579900652170181274e-04,-1.173464581370353699e-03,2.520501613616943359e-03
2.521209791302680969e-02,-3.301555290818214417e-02,1.754018485546112061e+00,-9.462032467126846313e-04,-9.589642286300659180e-04,2.412319183349609375e-03
