# x, y, z, vx, vy, vz
8.386780694127082825e-02,3.177155703306198120e-01,1.770413279533386230e+00,4.668161273002624512e-03,-6.569907069206237793e-03,-5.381345748901367188e-03
8.853596821427345276e-02,3.111456632614135742e-01,1.765031933784484863e+00,5.116662010550498962e-03,-7.110156118869781494e-03,-5.546510219573974609e-03
9.365263022482395172e-02,3.040355071425437927e-01,1.759485423564910889e+00,5.615876987576484680e-03,-7.675550878047943115e-03,-5.662143230438232422e-03
9.926850721240043640e-02,2.963599562644958496e-01,1.753823280334472656e+00,6.052397191524505615e-03,-8.209712803363800049e-03,-5.704224109649658203e-03
1.053209044039249420e-01,2.881502434611320496e-01,1.748119056224822998e+00,6.457183510065078735e-03,-8.728504180908203125e-03,-5.645394325256347656e-03
1.117780879139900208e-01,2.794217392802238464e-01,1.742473661899566650e+00,6.873857229948043823e-03,-9.244121611118316650e-03,-5.524575710296630859e-03
1.186519451439380646e-01,2.701776176691055298e-01,1.736949086189270020e+00,7.237035781145095825e-03,-9.684585034847259521e-03,-5.310833454132080078e-03
1.258889809250831604e-01,2.604930326342582703e-01,1.731638252735137939e+00,7.553763687610626221e-03,-1.012009382247924805e-02,-4.985332489013671875e-03
1.334427446126937866e-01,2.503729388117790222e-01,1.726652920246124268e+00,7.840301841497421265e-03,-1.049482077360153198e-02,-4.623711109161376953e-03
1.412830464541912079e-01,2.398781180381774902e-01,1.722029209136962891e+00,8.110739290714263916e-03,-1.085101068019866943e-02,-4.163444042205810547e-03
1.493937857449054718e-01,2.290271073579788208e-01,1.717865765094757080e+00,8.299209177494049072e-03,-1.114622503519058228e-02,-3.659725189208984375e-03
1.576929949223995209e-01,2.178808823227882385e-01,1.714206039905548096e+00,8.445564657449722290e-03,-1.137474924325942993e-02,-3.085434436798095703e-03
1.661385595798492432e-01,2.065061330795288086e-01,1.711120605468750000e+00,8.559256792068481445e-03,-1.154615730047225952e-02,-2.462923526763916016e-03
1.746978163719177246e-01,1.949599757790565491e-01,1.708657681941986084e+00,8.612662553787231445e-03,-1.165061071515083313e-02,-1.839280128479003906e-03
1.833104789257049561e-01,1.833093650639057159e-01,1.706818401813507080e+00,8.629158139228820801e-03,-1.169485598802566528e-02,-1.175284385681152344e-03
1.919396370649337769e-01,1.716145090758800507e-01,1.705643117427825928e+00,8.562378585338592529e-03,-1.159451529383659363e-02,-5.253553390502929688e-04
2.005020156502723694e-01,1.600199937820434570e-01,1.705117762088775635e+00,8.469372987747192383e-03,-1.146589964628219604e-02,1.164674758911132812e-04
2.089713886380195618e-01,1.485540941357612610e-01,1.705234229564666748e+00,8.273065090179443359e-03,-1.121881231665611267e-02,7.110238075256347656e-04
2.172444537281990051e-01,1.373352818191051483e-01,1.705945253372192383e+00,8.030168712139129639e-03,-1.092387735843658447e-02,1.279175281524658203e-03
2.252746224403381348e-01,1.264114044606685638e-01,1.707224428653717041e+00,7.777288556098937988e-03,-1.055968366563320160e-02,1.823842525482177734e-03
