# x, y, z, vx, vy, vz
-2.277674525976181030e-02,3.303800821304321289e-01,1.761683404445648193e+00,-4.338212311267852783e-03,-5.199238657951354980e-03,-6.665349006652832031e-03
-2.711495757102966309e-02,3.251808434724807739e-01,1.755018055438995361e+00,-4.639605060219764709e-03,-5.816504359245300293e-03,-6.816148757934570312e-03
-3.175456263124942780e-02,3.193643391132354736e-01,1.748201906681060791e+00,-4.964925348758697510e-03,-6.532013416290283203e-03,-6.866574287414550781e-03
-3.671948798000812531e-02,3.128323256969451904e-01,1.741335332393646240e+00,-5.247127264738082886e-03,-7.230073213577270508e-03,-6.812751293182373047e-03
-4.196661524474620819e-02,3.056022524833679199e-01,1.734522581100463867e+00,-5.552120506763458252e-03,-7.960714399814605713e-03,-6.665408611297607422e-03
-4.751873575150966644e-02,2.976415380835533142e-01,1.727857172489166260e+00,-5.861914250999689102e-03,-8.671641349792480469e-03,-6.454944610595703125e-03
-5.338065000250935555e-02,2.889698967337608337e-01,1.721402227878570557e+00,-6.140574114397168159e-03,-9.376175701618194580e-03,-6.117761135101318359e-03
-5.952122411690652370e-02,2.795937210321426392e-01,1.715284466743469238e+00,-6.417691824026405811e-03,-1.004023849964141846e-02,-5.717575550079345703e-03
-6.593891594093292952e-02,2.695534825325012207e-01,1.709566891193389893e+00,-6.686747190542519093e-03,-1.063948124647140503e-02,-5.225479602813720703e-03
-7.262566313147544861e-02,2.589140012860298157e-01,1.704341411590576172e+00,-6.922333966940641403e-03,-1.121512800455093384e-02,-4.663228988647460938e-03
-7.954799709841609001e-02,2.476988732814788818e-01,1.699678182601928711e+00,-7.164743263274431229e-03,-1.168067008256912231e-02,-4.065334796905517578e-03
-8.671274036169052124e-02,2.360182031989097595e-01,1.695612847805023193e+00,-7.399725727736949921e-03,-1.209569722414016724e-02,-3.415107727050781250e-03
-9.411246608942747116e-02,2.239225059747695923e-01,1.692197740077972412e+00,-7.571312598884105682e-03,-1.243801414966583252e-02,-2.698659896850585938e-03
-1.016837786883115768e-01,2.114844918251037598e-01,1.689499080181121826e+00,-7.725512608885765076e-03,-1.264377683401107788e-02,-2.026379108428955078e-03
-1.094092912971973419e-01,1.988407149910926819e-01,1.687472701072692871e+00,-7.843380793929100037e-03,-1.280798017978668213e-02,-1.279711723327636719e-03
-1.172526720911264420e-01,1.860327348113059998e-01,1.686192989349365234e+00,-7.909161970019340515e-03,-1.286088302731513977e-02,-5.785822868347167969e-04
-1.251618340611457825e-01,1.731718517839908600e-01,1.685614407062530518e+00,-7.907800376415252686e-03,-1.284686103463172913e-02,1.516342163085937500e-04
-1.330696344375610352e-01,1.603249907493591309e-01,1.685766041278839111e+00,-7.892586290836334229e-03,-1.275797933340072632e-02,7.889866828918457031e-04
-1.409622207283973694e-01,1.475670114159584045e-01,1.686555027961730957e+00,-7.833782583475112915e-03,-1.263665407896041870e-02,1.420140266418457031e-03
-1.487960033118724823e-01,1.349303573369979858e-01,1.687975168228149414e+00,-7.660526782274246216e-03,-1.237607188522815704e-02,2.029180526733398438e-03
-1.564565300941467285e-01,1.225542854517698288e-01,1.690004348754882812e+00,-7.466528564691543579e-03,-1.207135058939456940e-02,2.565979957580566406e-03
-1.639230586588382721e-01,1.104829348623752594e-01,1.692570328712463379e+00,-7.232077419757843018e-03,-1.169759035110473633e-02,3.022670745849609375e-03
-1.711551360785961151e-01,9.878534451127052307e-02,1.695592999458312988e+00,-6.942134350538253784e-03,-1.126755028963088989e-02,3.448903560638427734e-03
-1.780972704291343689e-01,8.751779422163963318e-02,1.699041903018951416e+00,-6.635092198848724365e-03,-1.075754640623927116e-02,3.827393054962158203e-03
-1.847323626279830933e-01,7.676024781540036201e-02,1.702869296073913574e+00,-6.299547851085662842e-03,-1.024758361745625734e-02,4.074811935424804688e-03
-1.910319104790687561e-01,6.651266419794410467e-02,1.706944108009338379e+00,-5.921207368373870850e-03,-9.638604125939309597e-03,4.349291324615478516e-03
