# x, y, z, vx, vy, vz
2.050535194575786591e-02,3.699703663587570190e-01,1.807952105998992920e+00,1.652948558330535889e-04,-4.679411649703979492e-04,-3.267705440521240234e-03
2.067064680159091949e-02,3.695024251937866211e-01,1.804684400558471680e+00,2.255178987979888916e-04,-7.795989513397216797e-04,-3.740966320037841797e-03
2.089616470038890839e-02,3.687228262424468994e-01,1.800943434238433838e+00,2.931077033281326294e-04,-1.072287559509277344e-03,-4.214525222778320312e-03
2.118927240371704102e-02,3.676505386829376221e-01,1.796728909015655518e+00,3.336966037750244141e-04,-1.431241631507873535e-03,-4.695892333984375000e-03
2.152296900749206543e-02,3.662192970514297485e-01,1.792033016681671143e+00,3.783944994211196899e-04,-1.820370554924011230e-03,-5.134284496307373047e-03
2.190136350691318512e-02,3.643989264965057373e-01,1.786898732185363770e+00,4.286803305149078369e-04,-2.260610461235046387e-03,-5.533635616302490234e-03
2.233004383742809296e-02,3.621383160352706909e-01,1.781365096569061279e+00,4.350114613771438599e-04,-2.710476517677307129e-03,-5.814254283905029297e-03
2.276505529880523682e-02,3.594278395175933838e-01,1.775550842285156250e+00,4.656501114368438721e-04,-3.160104155540466309e-03,-6.025195121765136719e-03
2.323070541024208069e-02,3.562677353620529175e-01,1.769525647163391113e+00,4.218555986881256104e-04,-3.589883446693420410e-03,-6.124258041381835938e-03
2.365256100893020630e-02,3.526778519153594971e-01,1.763401389122009277e+00,3.604907542467117310e-04,-4.012629389762878418e-03,-6.110548973083496094e-03
2.401305176317691803e-02,3.486652225255966187e-01,1.757290840148925781e+00,2.824589610099792480e-04,-4.430070519447326660e-03,-5.923151969909667969e-03
2.429551072418689728e-02,3.442351520061492920e-01,1.751367688179016113e+00,2.035312354564666748e-04,-4.767939448356628418e-03,-5.634963512420654297e-03
2.449904195964336395e-02,3.394672125577926636e-01,1.745732724666595459e+00,8.202716708183288574e-05,-5.084320902824401855e-03,-5.223870277404785156e-03
2.458106912672519684e-02,3.343828916549682617e-01,1.740508854389190674e+00,-5.522929131984710693e-05,-5.321562290191650391e-03,-4.692852497100830078e-03
2.452583983540534973e-02,3.290613293647766113e-01,1.735816001892089844e+00,-2.019591629505157471e-04,-5.507573485374450684e-03,-4.044830799102783203e-03
2.432388067245483398e-02,3.235537558794021606e-01,1.731771171092987061e+00,-3.164149820804595947e-04,-5.633115768432617188e-03,-3.347158432006835938e-03
2.400746569037437439e-02,3.179206401109695435e-01,1.728424012660980225e+00,-4.742778837680816650e-04,-5.697205662727355957e-03,-2.592384815216064453e-03
2.353318780660629272e-02,3.122234344482421875e-01,1.725831627845764160e+00,-5.726087838411331177e-04,-5.694732069969177246e-03,-1.829624176025390625e-03
2.296057902276515961e-02,3.065287023782730103e-01,1.724002003669738770e+00,-6.617177277803421021e-04,-5.648963153362274170e-03,-1.046001911163330078e-03
2.229886129498481750e-02,3.008797392249107361e-01,1.722956001758575439e+00,-7.882788777351379395e-04,-5.553379654884338379e-03,-3.322958946228027344e-04
2.151058241724967957e-02,2.953263595700263977e-01,1.722623705863952637e+00,-8.272398263216018677e-04,-5.457378923892974854e-03,3.746151924133300781e-04
