# x, y, z, vx, vy, vz
1.680430658161640167e-01,1.521418429911136627e-01,1.675041437149047852e+00,1.153764128684997559e-02,-1.544407010078430176e-02,4.376173019409179688e-04
1.795807071030139923e-01,1.366977728903293610e-01,1.675479054450988770e+00,1.143222674727439880e-02,-1.504418998956680298e-02,1.221179962158203125e-03
1.910129338502883911e-01,1.216535829007625580e-01,1.676700234413146973e+00,1.121508330106735229e-02,-1.450272463262081146e-02,1.928806304931640625e-03
2.022280171513557434e-01,1.071508582681417465e-01,1.678629040718078613e+00,1.090072095394134521e-02,-1.382627058774232864e-02,2.566277980804443359e-03
2.131287381052970886e-01,9.332458768039941788e-02,1.681195318698883057e+00,1.051031798124313354e-02,-1.305776857770979404e-02,3.103911876678466797e-03
2.236390560865402222e-01,8.026681910268962383e-02,1.684299230575561523e+00,1.005434989929199219e-02,-1.220428547821938992e-02,3.550767898559570312e-03
2.336934059858322144e-01,6.806253362447023392e-02,1.687849998474121094e+00,9.513773024082183838e-03,-1.127838529646396637e-02,3.902196884155273438e-03
2.432071790099143982e-01,5.678414832800626755e-02,1.691752195358276367e+00,8.930698037147521973e-03,-1.032392214983701706e-02,4.127383232116699219e-03
2.521378770470619202e-01,4.646022617816925049e-02,1.695879578590393066e+00,8.302010595798492432e-03,-9.383121505379676819e-03,4.292249679565429688e-03
2.604398876428604126e-01,3.707710467278957367e-02,1.700171828269958496e+00,7.629700005054473877e-03,-8.410397917032241821e-03,4.364311695098876953e-03
2.680695876479148865e-01,2.866670675575733185e-02,1.704536139965057373e+00,6.949953734874725342e-03,-7.478253915905952454e-03,4.360318183898925781e-03
2.750195413827896118e-01,2.118845283985137939e-02,1.708896458148956299e+00,6.230622529983520508e-03,-6.597515195608139038e-03,4.301607608795166016e-03
2.812501639127731323e-01,1.459093764424324036e-02,1.713198065757751465e+00,5.556419491767883301e-03,-5.763269960880279541e-03,4.201769828796386719e-03
2.868065834045410156e-01,8.827667683362960815e-03,1.717399835586547852e+00,4.886686801910400391e-03,-5.032956600189208984e-03,4.049360752105712891e-03
2.916932702064514160e-01,3.794711083173751831e-03,1.721449196338653564e+00,4.258707165718078613e-03,-4.335809499025344849e-03,3.921866416931152344e-03
2.959519773721694946e-01,-5.410984158515930176e-04,1.725371062755584717e+00,3.616973757743835449e-03,-3.732684999704360962e-03,3.733575344085693359e-03
2.995689511299133301e-01,-4.273783415555953979e-03,1.729104638099670410e+00,3.037363290786743164e-03,-3.213953226804733276e-03,3.581881523132324219e-03
3.026063144207000732e-01,-7.487736642360687256e-03,1.732686519622802734e+00,2.499371767044067383e-03,-2.756111323833465576e-03,3.401994705200195312e-03
3.051056861877441406e-01,-1.024384796619415283e-02,1.736088514328002930e+00,2.026870846748352051e-03,-2.368588000535964966e-03,3.245115280151367188e-03
3.071325570344924927e-01,-1.261243596673011780e-02,1.739333629608154297e+00,1.562654972076416016e-03,-2.013560384511947632e-03,3.073692321777343750e-03
3.086952120065689087e-01,-1.462599635124206543e-02,1.742407321929931641e+00,1.172974705696105957e-03,-1.716263592243194580e-03,2.935886383056640625e-03
3.098681867122650146e-01,-1.634225994348526001e-02,1.745343208312988281e+00,8.599758148193359375e-04,-1.466654241085052490e-03,2.812087535858154297e-03
3.107281625270843506e-01,-1.780891418457031250e-02,1.748155295848846436e+00,5.799680948257446289e-04,-1.242496073246002197e-03,2.686321735382080078e-03
3.113081306219100952e-01,-1.905141025781631470e-02,1.750841617584228516e+00,3.476440906524658203e-04,-1.090761274099349976e-03,2.545952796936035156e-03
3.116557747125625610e-01,-2.014217153191566467e-02,1.753387570381164551e+00,1.780837774276733398e-04,-8.817929774522781372e-04,2.446830272674560547e-03
3.118338584899902344e-01,-2.102396450936794281e-02,1.755834400653839111e+00,5.108118057250976562e-05,-7.361657917499542236e-04,2.355575561523437500e-03
3.118849396705627441e-01,-2.176013030111789703e-02,1.758189976215362549e+00,-4.556775093078613281e-05,-6.273966282606124878e-04,2.220749855041503906e-03
3.118393719196319580e-01,-2.238752692937850952e-02,1.760410726070404053e+00,-1.058876514434814453e-04,-4.915241152048110962e-04,2.123296260833740234e-03
3.117334842681884766e-01,-2.287905104458332062e-02,1.762534022331237793e+00,-1.167804002761840820e-04,-3.853775560855865479e-04,2.043366432189941406e-03
3.116167038679122925e-01,-2.326442860066890717e-02,1.764577388763427734e+00,-1.083910465240478516e-04,-2.820584923028945923e-04,1.921713352203369141e-03
3.115083128213882446e-01,-2.354648709297180176e-02,1.766499102115631104e+00,-9.420514106750488281e-05,-1.999959349632263184e-04,1.808762550354003906e-03
3.114141076803207397e-01,-2.374648302793502808e-02,1.768307864665985107e+00,-7.003545761108398438e-05,-1.467242836952209473e-04,1.704812049865722656e-03
3.113440722227096558e-01,-2.389320731163024902e-02,1.770012676715850830e+00,-3.276765346527099609e-05,-7.461197674274444580e-05,1.575112342834472656e-03
3.113113045692443848e-01,-2.396781928837299347e-02,1.771587789058685303e+00,-5.260109901428222656e-06,-2.375990152359008789e-05,1.457393169403076172e-03
3.113060444593429565e-01,-2.399157918989658356e-02,1.773045182228088379e+00,3.553926944732666016e-05,2.334080636501312256e-05,1.322686672210693359e-03
3.113415837287902832e-01,-2.396823838353157043e-02,1.774367868900299072e+00,5.021691322326660156e-05,3.046169877052307129e-05,1.164197921752929688e-03
3.113918006420135498e-01,-2.393777668476104736e-02,1.775532066822052002e+00,6.765127182006835938e-05,5.868636071681976318e-05,1.034140586853027344e-03
3.114594519138336182e-01,-2.387909032404422760e-02,1.776566207408905029e+00,9.067356586456298828e-05,5.613453686237335205e-05,8.669495582580566406e-04
3.115501254796981812e-01,-2.382295578718185425e-02,1.777433156967163086e+00,6.480515003204345703e-05,4.833005368709564209e-05,6.948113441467285156e-04
3.116149306297302246e-01,-2.377462573349475861e-02,1.778127968311309814e+00,7.687509059906005859e-05,4.044547677040100098e-05,5.596280097961425781e-04
3.116918057203292847e-01,-2.373418025672435760e-02,1.778687596321105957e+00,6.106495857238769531e-05,-2.356246113777160645e-06,3.736615180969238281e-04
3.117528706789016724e-01,-2.373653650283813477e-02,1.779061257839202881e+00,1.321732997894287109e-05,-3.991089761257171631e-05,1.922249794006347656e-04
